Date,Open,High,Low,Close,Adj Close,Volume
8/14/2003,42.560001,43.150002,42.52,42.900002,18.079893,2683900
8/15/2003,42.650002,42.650002,42.139999,42.400002,17.869173,1595300
8/18/2003,42.400002,42.77,42.400002,42.700001,17.9956,2383100
8/19/2003,43.540001,43.540001,41.849998,42.23,17.79752,2119800
8/20/2003,42.119999,42.52,42.029999,42.439999,17.886023,1691500
8/21/2003,42.099998,42.220001,41.939999,42.18,17.776445,2328600
8/22/2003,41.669998,42.02,41.669998,41.799999,17.616308,2474600
8/25/2003,41.799999,42.18,41.779999,42.009998,17.7048,1917700
8/26/2003,41.450001,41.73,41.18,41.68,17.565735,3020200
8/27/2003,41.52,41.990002,41.52,41.84,17.63315,2402600
8/28/2003,41.880001,42.240002,41.68,42.200001,17.784883,3185900
8/29/2003,42.200001,42.200001,41.459999,41.720001,17.582588,4272900
9/2/2003,41.740002,42.349998,41.720001,42.299999,17.827023,3988300
9/3/2003,42.799999,43.080002,42.669998,42.880001,18.071463,3868900
9/4/2003,43.080002,43.240002,42.959999,43,18.122028,2908000
9/5/2003,42.5,42.849998,42.5,42.580002,17.945026,2348000
9/8/2003,43,43.419998,42.950001,43.200001,18.20632,2312200
9/9/2003,42.98,43.040001,42.73,42.75,18.01667,2088200
9/10/2003,42.650002,42.790001,42.5,42.560001,17.936604,1883900
9/11/2003,42.830002,43.119999,42.779999,42.959999,18.105175,2324900
9/12/2003,43.150002,43.209999,42.720001,43.080002,18.155748,1629800
9/15/2003,43.080002,43.080002,42.439999,42.869999,18.067244,2847100
9/16/2003,42.450001,43.080002,42.299999,43.029999,18.134674,4529500
9/17/2003,42.880001,43.049999,42.650002,42.650002,17.974524,4744600
9/18/2003,42.279999,42.549999,42.130001,42.419998,17.87759,3948700
9/19/2003,42.259998,42.330002,42,42.220001,17.793306,3363100
9/22/2003,42.130001,42.650002,42,42.580002,17.945026,3514000
9/23/2003,42.369999,42.459999,42.150002,42.25,17.805952,3279700
9/24/2003,42.939999,42.990002,42.57,42.650002,17.974524,3779000
9/25/2003,43.099998,43.23,42.900002,42.91,18.084097,3450800
9/26/2003,42.200001,42.419998,42,42.310001,17.83123,6344500
9/29/2003,42.049999,42.18,41.82,42,17.70059,2366900
9/30/2003,41.950001,42.099998,41.380001,42.099998,17.742731,7474500
10/1/2003,42.349998,43.150002,42.32,43.150002,18.185251,3131200
10/2/2003,43.150002,43.150002,42.290001,42.779999,18.029312,4738900
10/3/2003,43.25,43.799999,43.200001,43.57,18.362253,3718800
10/6/2003,43.919998,44.029999,43.639999,43.66,18.400183,3123500
10/7/2003,43.560001,43.990002,43.5,43.970001,18.530832,2246100
10/8/2003,44,44.009998,43.389999,43.66,18.400183,2354200
10/9/2003,43.599998,44.049999,43.549999,43.720001,18.425461,2207300
10/10/2003,44.099998,44.330002,44.02,44.060001,18.568764,2872700
10/13/2003,44.200001,44.73,44.200001,44.73,18.851124,3184500
10/14/2003,44.049999,44.23,43.970001,44.169998,18.615118,3441100
10/15/2003,44.330002,44.330002,43.599998,43.900002,18.501326,3266800
10/16/2003,43.900002,43.939999,43.540001,43.75,18.438114,2826300
10/17/2003,43.75,43.75,43.130001,43.599998,18.374891,2607300
10/20/2003,43.650002,43.709999,43.349998,43.48,18.324324,2391600
10/21/2003,43.169998,43.25,42.93,43.139999,18.181034,4081300
10/22/2003,42.950001,43.049999,42.73,42.900002,18.079893,2819000
10/23/2003,42.200001,42.68,42.18,42.59,17.949238,2794700
10/24/2003,42.400002,42.82,42.27,42.810001,18.04196,2718000
10/27/2003,42.360001,42.59,42.139999,42.450001,17.890238,2476900
10/28/2003,42.400002,42.52,41.889999,42.23,17.79752,4311600
10/29/2003,41.900002,42.369999,41.799999,42.25,17.805952,3226400
10/30/2003,42.259998,42.5,41.650002,41.700001,17.574158,3792000
10/31/2003,41.970001,42.450001,41.950001,42.380001,17.860737,2792600
11/3/2003,42.860001,42.93,42.369999,42.470001,17.898668,2833000
11/4/2003,42.700001,42.810001,42.549999,42.549999,17.932379,2511900
11/5/2003,42.549999,42.68,42.380001,42.59,17.949238,2222800
11/6/2003,42.25,42.549999,42.25,42.509998,17.915527,2164300
11/7/2003,42.799999,43,42.619999,42.779999,18.029312,2515700
11/10/2003,42.950001,42.98,42.5,42.580002,17.945026,1970300
11/11/2003,42.330002,42.73,42.330002,42.599998,17.953457,1732300
11/12/2003,42.18,42.599998,42,42.599998,18.137814,2276200
11/13/2003,42.25,42.549999,42.119999,42.5,18.095238,2208500
11/14/2003,42.75,43.16,42.689999,42.91,18.269796,3342300
11/17/2003,42.889999,42.900002,42.369999,42.57,18.125036,2590200
11/18/2003,42.5,42.529999,42.110001,42.110001,17.929186,3059000
11/19/2003,42.599998,42.619999,42.349998,42.5,18.095238,3946500
11/20/2003,42.459999,42.849998,42.369999,42.700001,18.180391,2310700
11/21/2003,42.02,42.73,42.02,42.599998,18.137814,2030400
11/24/2003,42.889999,43.139999,42.810001,42.950001,18.286829,2020300
11/25/2003,42.650002,42.709999,42.43,42.599998,18.137814,3186900
11/26/2003,42.84,42.959999,42.560001,42.889999,18.261288,1847000
11/28/2003,42.52,42.860001,42.299999,42.689999,18.17613,1556000
12/1/2003,42.880001,43.380001,42.779999,43.200001,18.393276,2230900
12/2/2003,42.900002,43.349998,42.799999,42.98,18.299603,3762900
12/3/2003,43.220001,43.389999,43.099998,43.200001,18.393276,3272600
12/4/2003,43.060001,43.68,43.02,43.68,18.597641,3011200
12/5/2003,43.549999,43.77,43.419998,43.599998,18.56358,1850900
12/8/2003,43.650002,44.580002,43.639999,44.400002,18.904198,4359500
12/9/2003,45.330002,45.5,45.060001,45.07,19.189461,5580700
12/10/2003,44.959999,45.650002,44.91,45.220001,19.253334,4270700
12/11/2003,45.220001,45.75,45.18,45.700001,19.457699,3729100
12/12/2003,45.759998,46.349998,45.759998,46.349998,19.734442,3781000
12/15/2003,46.099998,46.25,45.52,45.599998,19.415127,3620600
12/16/2003,45.990002,46.139999,45.57,45.830002,19.51305,3031000
12/17/2003,46.700001,47.110001,46.52,47.080002,20.045259,4387100
12/18/2003,47.779999,48.360001,47.740002,48.169998,20.509352,5270300
12/19/2003,48.470001,48.630001,48.16,48.43,20.62006,3844300
12/22/2003,48.43,48.639999,48.32,48.400002,20.607285,3818800
12/23/2003,47.900002,48.27,47.779999,48.099998,20.479551,2583600
12/24/2003,48.450001,48.740002,48.299999,48.459999,20.632816,1791200
12/26/2003,48.459999,48.830002,48.380001,48.77,20.764822,765700
12/29/2003,48.68,49.049999,48.580002,48.970001,20.849976,2417100
12/30/2003,48.950001,49.200001,48.939999,49.080002,20.896811,1891200
12/31/2003,49.18,49.59,49.18,49.349998,21.011765,2462900
1/2/2004,49.529999,49.599998,49.200001,49.400002,21.033045,2972500
1/5/2004,49.349998,50.049999,49.310001,49.900002,21.245934,4142800
1/6/2004,50.09,50.400002,49.959999,50.220001,21.382189,3172900
1/7/2004,49.130001,49.150002,48.75,49.02,20.871258,5830200
1/8/2004,49.200001,49.34,48.93,49.07,20.892551,2941100
1/9/2004,48.299999,49.290001,48.119999,49.080002,20.896811,7391700
1/12/2004,49.66,49.91,49.25,49.669998,21.148006,3558500
1/13/2004,49.73,49.889999,49.400002,49.400002,21.033045,3690600
1/14/2004,48.580002,48.799999,48.509998,48.599998,20.692429,4396800
1/15/2004,48.5,48.540001,48.130001,48.25,20.543419,3261800
1/16/2004,47.330002,48.02,47.209999,48.009998,20.441233,5719700
1/20/2004,48.209999,49.049999,48.200001,48.759998,20.760555,2930600
1/21/2004,49.75,50,49.700001,49.98,21.280005,4664100
1/22/2004,50.099998,50.099998,49.580002,49.619999,21.12672,3556500
1/23/2004,48.73,49.09,47.73,48.75,20.756292,3722500
1/26/2004,48.400002,48.599998,47.970001,48.599998,20.692429,3615400
1/27/2004,48.490002,48.849998,48.369999,48.66,20.717978,3235500
1/28/2004,48.900002,49.299999,48.439999,48.439999,20.624313,3558000
1/29/2004,48.290001,48.330002,47.75,48.07,20.46678,3160600
1/30/2004,47.73,47.91,47.490002,47.599998,20.266663,2972300
2/2/2004,47.349998,47.68,47.119999,47.560001,20.249632,3530200
2/3/2004,47.369999,47.799999,47.07,47.77,20.339041,3502500
2/4/2004,47.66,47.889999,47.549999,47.580002,20.258152,2270100
2/5/2004,47.57,47.57,47.16,47.27,20.126158,2234200
2/6/2004,47.049999,47.599998,46.91,47.599998,20.266663,2415400
2/9/2004,47.639999,48.650002,47.610001,48.400002,20.607285,3147100
2/10/2004,46.740002,47.849998,46.650002,47.549999,20.24538,7789600
2/11/2004,47.200001,47.950001,46.970001,47.919998,20.40291,5148000
2/12/2004,47.389999,47.82,47.25,47.73,20.322012,3845500
2/13/2004,47.830002,48.279999,47.5,48.049999,20.458261,2671800
2/17/2004,48.759998,48.82,48.5,48.720001,20.743528,2859900
2/18/2004,48.310001,48.360001,47.900002,47.900002,20.584524,2879500
2/19/2004,48.34,48.549999,48.099998,48.130001,20.683365,3184500
2/20/2004,48.709999,48.709999,48.189999,48.490002,20.838068,3295100
2/23/2004,48.610001,48.639999,48.25,48.5,20.842363,2920500
2/24/2004,48.18,48.759998,48.150002,48.529999,20.855267,2669700
2/25/2004,48.650002,48.77,48.450001,48.740002,20.945509,2055200
2/26/2004,48.880001,49.09,48.779999,49.029999,21.070124,3589600
2/27/2004,49.299999,49.41,48.82,49.200001,21.143183,3004700
3/1/2004,49.68,50.490002,49.669998,50.23,21.585814,3837100
3/2/2004,49.849998,50.080002,49.599998,49.599998,21.315075,3064200
3/3/2004,49.77,49.919998,49.23,49.66,21.340855,2916000
3/4/2004,49.5,50.099998,49.450001,49.959999,21.469774,2702200
3/5/2004,49.799999,50.200001,49.77,50.099998,21.529949,2265800
3/8/2004,50.220001,50.41,49.900002,49.939999,21.461195,2201900
3/9/2004,49.77,49.970001,49.48,49.52,21.280699,3131700
3/10/2004,49.75,49.900002,49.360001,49.369999,21.216238,3805300
3/11/2004,49.099998,49.68,48.799999,48.810001,20.97559,3496300
3/12/2004,48.18,49.150002,48.18,49,21.057226,3901200
3/15/2004,49.130001,49.59,49.060001,49.360001,21.211939,4786000
3/16/2004,49.639999,49.720001,49.41,49.66,21.340855,4059100
3/17/2004,49.299999,50.040001,49.290001,49.959999,21.469774,2989500
3/18/2004,50.25,50.400002,49.900002,50.18,21.564331,3350600
3/19/2004,50.259998,50.540001,49.990002,50.080002,21.521355,2589400
3/22/2004,49.650002,49.720001,48.889999,48.93,21.027164,3065200
3/23/2004,49.299999,49.400002,48.700001,49.150002,21.121696,2304100
3/24/2004,49.099998,49.240002,48.400002,48.450001,20.820879,3895700
3/25/2004,48.09,48.16,47.790001,47.959999,20.610304,3945000
3/26/2004,48.080002,48.549999,47.900002,48.459999,20.825171,3608100
3/29/2004,49.25,49.869999,49.150002,49.450001,21.250622,3861800
3/30/2004,50.5,51.48,50.48,51.119999,21.968285,5999300
3/31/2004,51.259998,51.400002,50.52,51.200001,22.002666,3716900
4/1/2004,51.220001,51.52,50.75,50.880001,21.865149,3266200
4/2/2004,51.48,52,51.349998,52,22.346457,3980900
